ADM0_EN,ADM0_PCODE,adm1_name,ADM1_PCODE,ADM1_TYPE,Male,Female,Total,Lat,Long
Lesotho,LS,Quthing,LSG,District,57792,61844,119636,-30.413616,27.970415
Lesotho,LS,Mohale's Hoek,LSF,District,73467,77592,151059,-30.127431,27.668363
Lesotho,LS,Qacha's Nek,LSH,District,35168,38397,73565,-29.964429,28.701420
Lesotho,LS,Mafeteng,LSE,District,96254,98843,195097,-29.757574,27.378837
Lesotho,LS,Maseru,LSA,District,191288,213075,404363,-29.565642,27.796710
Lesotho,LS,Thaba Tseka,LSK,District,50311,51748,102059,-29.5333,28.6
Lesotho,LS,Mokhotlong,LSJ,District,47242,49291,96533,-29.2885,29.0656
Lesotho,LS,Berea,LSD,District,125405,133349,258754,29.2069,27.878
Lesotho,LS,Leribe,LSC,District,155958,163802,319760,-29.018983,28.283234
Lesotho,LS,Butha Buthe,LSB,District,43495,48238,91733,-28.823041,28.611562
