source_organization,source_document,country,country_code,geographic_group,fewsnet_region,geographic_unit_name,classification_scale,scenario_name,is_allowing_for_assistance,projection_start,projection_end,value,description,scenario,reporting_date,collection_schedule,collection_status,dataseries_name,geographic_unit_full_name,status,id,data_usage_policy
FEWS NET,"Food Assistance Outlook Brief, Highest FIC",Lesotho,LS,Southern Africa,Southern Africa,Lesotho,IPC Highest Household,Current Situation,FALSE,2023/7/1,2023/7/31,1,Minimal,CS,2023/7/1,Ad Hoc,Published,Lesotho (Open Ended): IPC Highest Household: Current Situation: Not allowing for assistance,Lesotho,Collected,33327523,Public
FEWS NET,"Food Assistance Outlook Brief, Highest FIC",Lesotho,LS,Southern Africa,Southern Africa,Lesotho,IPC Highest Household,Current Situation,FALSE,2023/9/1,2023/9/30,1,Minimal,CS,2023/9/1,Ad Hoc,Published,Lesotho (Open Ended): IPC Highest Household: Current Situation: Not allowing for assistance,Lesotho,Collected,33486947,Public
FEWS NET,"Food Assistance Outlook Brief, Highest FIC",Lesotho,LS,Southern Africa,Southern Africa,Lesotho,IPC Highest Household,Most Likely,FALSE,2024/1/1,2024/1/31,3,Crisis,ML,2023/7/1,Ad Hoc,Published,Lesotho (Open Ended): IPC Highest Household: Most Likely: Not allowing for assistance,Lesotho,Collected,33327524,Public
FEWS NET,"Food Assistance Outlook Brief, Highest FIC",Lesotho,LS,Southern Africa,Southern Africa,Lesotho,IPC Highest Household,Most Likely,FALSE,2024/3/1,2024/3/31,3,Crisis,ML,2023/9/1,Ad Hoc,Published,Lesotho (Open Ended): IPC Highest Household: Most Likely: Not allowing for assistance,Lesotho,Collected,33486948,Public
"FEWS NET, Lesotho","Key Message Update, Lesotho",Lesotho,LS,Southern Africa,Southern Africa,Lesotho,IPC 3.0,Near Term Projection ,FALSE,2020/11/1,2021/1/31,3,Crisis,ML1,2020/11/1,Ad Hoc,Published,Lesotho (Open Ended): IPC 3.0: Near Term Projection : Not allowing for assistance,Lesotho,Collected,24757330,Public
"FEWS NET, Lesotho","Key Message Update, Lesotho",Lesotho,LS,Southern Africa,Southern Africa,Lesotho,IPC 3.0,Near Term Projection ,FALSE,2021/1/1,2021/1/31,3,Crisis,ML1,2021/1/1,Ad Hoc,Published,Lesotho (Open Ended): IPC 3.0: Near Term Projection : Not allowing for assistance,Lesotho,Collected,24824321,Public
"FEWS NET, Lesotho","Key Message Update, Lesotho",Lesotho,LS,Southern Africa,Southern Africa,Lesotho,IPC 3.0,Medium Term Projection ,FALSE,2021/2/1,2021/5/31,3,Crisis,ML2,2021/1/1,Ad Hoc,Published,Lesotho (Open Ended): IPC 3.0: Medium Term Projection : Not allowing for assistance,Lesotho,Collected,24824329,Public
"FEWS NET, Lesotho","Key Message Update, Lesotho",Lesotho,LS,Southern Africa,Southern Africa,Lesotho,IPC 3.0,Medium Term Projection ,FALSE,2021/2/1,2021/5/31,3,Crisis,ML2,2020/11/1,Ad Hoc,Published,Lesotho (Open Ended): IPC 3.0: Medium Term Projection : Not allowing for assistance,Lesotho,Collected,24757338,Public
"FEWS NET, Lesotho","Key Message Update, Lesotho",Lesotho,LS,Southern Africa,Southern Africa,Lesotho,IPC 3.0,Near Term Projection ,FALSE,2021/5/1,2021/5/31,2,Stressed,ML1,2021/5/1,Ad Hoc,Published,Lesotho (Open Ended): IPC 3.0: Near Term Projection : Not allowing for assistance,Lesotho,Collected,25797736,Public
"FEWS NET, Lesotho","Key Message Update, Lesotho",Lesotho,LS,Southern Africa,Southern Africa,Lesotho,IPC 3.0,Near Term Projection ,FALSE,2021/3/1,2021/5/31,3,Crisis,ML1,2021/3/1,Ad Hoc,Published,Lesotho (Open Ended): IPC 3.0: Near Term Projection : Not allowing for assistance,Lesotho,Collected,25575438,Public
"FEWS NET, Lesotho","Key Message Update, Lesotho",Lesotho,LS,Southern Africa,Southern Africa,Lesotho,IPC 3.0,Near Term Projection ,FALSE,2021/9/1,2021/9/30,1,Minimal,ML1,2021/9/1,Ad Hoc,Published,Lesotho (Open Ended): IPC 3.0: Near Term Projection : Not allowing for assistance,Lesotho,Collected,26562431,Public
"FEWS NET, Lesotho","Key Message Update, Lesotho",Lesotho,LS,Southern Africa,Southern Africa,Lesotho,IPC 3.0,Medium Term Projection ,FALSE,2021/6/1,2021/9/30,1,Minimal,ML2,2021/3/1,Ad Hoc,Published,Lesotho (Open Ended): IPC 3.0: Medium Term Projection : Not allowing for assistance,Lesotho,Collected,25575446,Public
"FEWS NET, Lesotho","Key Message Update, Lesotho",Lesotho,LS,Southern Africa,Southern Africa,Lesotho,IPC 3.0,Medium Term Projection ,FALSE,2021/6/1,2021/9/30,1,Minimal,ML2,2021/5/1,Ad Hoc,Published,Lesotho (Open Ended): IPC 3.0: Medium Term Projection : Not allowing for assistance,Lesotho,Collected,25797743,Public
"FEWS NET, Lesotho","Key Message Update, Lesotho",Lesotho,LS,Southern Africa,Southern Africa,Lesotho,IPC 3.0,Near Term Projection ,FALSE,2021/7/1,2021/9/30,1,Minimal,ML1,2021/7/1,Ad Hoc,Published,Lesotho (Open Ended): IPC 3.0: Near Term Projection : Not allowing for assistance,Lesotho,Collected,26462709,Public
"FEWS NET, Lesotho","Key Message Update, Lesotho",Lesotho,LS,Southern Africa,Southern Africa,Lesotho,IPC 3.0,Medium Term Projection ,FALSE,2021/10/1,2022/1/31,3,Crisis,ML2,2021/9/1,Ad Hoc,Published,Lesotho (Open Ended): IPC 3.0: Medium Term Projection : Not allowing for assistance,Lesotho,Collected,26562438,Public
