year,month,ENACTS rain (mm),Rain fcst v2,Ag/food sec bad years (rank)
2023,2023-06,,48.2,
2022,2022-06,,18,
2021,2021-06,,32.6,31
2020,2020-06,312.9,21.1,31
2019,2019-06,182.1,34.5,7
2018,2018-06,98.4,34.3,5
2017,2017-06,225.2,22.4,9
2016,2016-06,216.8,17.1,31
2015,2015-06,74.6,41.5,1
2014,2014-06,346.5,33.2,30
2013,2013-06,310.2,24.8,31
2023,2023-07,,60.3,
2022,2022-07,,15.6,
2021,2021-07,,20.4,31
2020,2020-07,312.9,27.2,31
2019,2019-07,182.1,41.9,7
2018,2018-07,98.4,48,5
2017,2017-07,225.2,26.9,9
2016,2016-07,216.8,16.5,31
2015,2015-07,74.6,51.8,1
2014,2014-07,346.5,35.9,30
2013,2013-07,310.2,15.9,31
2023,2023-08,/,43.7,/
2022,2022-08,/,23.3,/
2021,2021-08,/,24.2,31
2020,2020-08,312.9,20.7,31
2019,2019-08,182.1,36.5,7
2018,2018-08,98.4,42,5
2017,2017-08,225.2,26.2,9
2016,2016-08,216.8,17.4,31
2015,2015-08,74.6,38,1
2014,2014-08,346.5,27,30
2013,2013-08,310.2,20.5,31
2023,2023-09,/,/,/
2022,2022-09,/,17.8,/
2021,2021-09,/,22.1,31
2020,2020-09,312.9,24.2,31
2019,2019-09,182.1,52.9,7
2018,2018-09,98.4,35.8,5
2017,2017-09,225.2,14.9,9
2016,2016-09,216.8,17.6,31
2015,2015-09,74.6,35.7,1
2014,2014-09,346.5,19.3,30
2013,2013-09,310.2,22,31
