year,month,ENACTS rain (mm),Rain fcst v2,Ag/food sec bad years (rank)
2023,jul,,60.3,
2022,jul,,15.6,
2021,jul,,20.4,31
2020,jul,312.9,27.2,31
2019,jul,182.1,41.9,7
2018,jul,98.4,48,5
2017,jul,225.2,26.9,9
2016,jul,216.8,16.5,31
2015,jul,74.6,51.8,1
2014,jul,346.5,35.9,30
2013,jul,310.2,15.9,31
2023,jun,,48.2,
2022,jun,,18,
2021,jun,,32.6,31
2020,jun,312.9,21.1,31
2019,jun,182.1,34.5,7
2018,jun,98.4,34.3,5
2017,jun,225.2,22.4,9
2016,jun,216.8,17.1,31
2015,jun,74.6,41.5,1
2014,jun,346.5,33.2,30
2013,jun,310.2,24.80,31
2023,aug,/,43.7,/
2022,aug,/,23.3,/
2021,aug,/,24.2,31
2020,aug,312.9,20.7,31
2019,aug,182.1,36.5,7
2018,aug,98.4,42,5
2017,aug,225.2,26.2,9
2016,aug,216.8,17.4,31
2015,aug,74.6,38,1
2014,aug,346.5,27,30
2013,aug,310.2,20.5,31
2023,sep,/,/,/
2022,sep,/,17.8,/
2021,sep,/,22.1,31
2020,sep,312.9,24.2,31
2019,sep,182.1,52.9,7
2018,sep,98.4,35.8,5
2017,sep,225.2,14.9,9
2016,sep,216.8,17.6,31
2015,sep,74.6,35.7,1
2014,sep,346.5,19.3,30
2013,sep,310.2,22,31
