District,Council,Geographic Zone
Mafeteng,Makoabating,Southern Lowlands
Mafeteng,Mamantso,Southern Lowlands
Mafeteng,Metsimaholo,Southern Lowlands
Mafeteng,Tsanatala,Southern Lowlands
Mafeteng,Qibing,Southern Lowlands
Mafeteng,Mafeteng Urban,Southern Lowlands
Mohale's Hoek,Siloe,Southern Lowlands
Mohale's Hoek,Mashaleng,Southern Lowlands
Mohale's Hoek,Urban council,Southern Lowlands
Mohale's Hoek,Khoelenya,Southern Lowlands
Mohale's Hoek,Senqunyane,Senqu-river valley
Mohale's Hoek,Qhoasing,Senqu-river valley
Mohale's Hoek,Lithipeng,Senqu-river valley
Mohale's Hoek,Khoelenya,Senqu-river valley
Quthing,Mjanyane,Senqu-river valley
Quthing,Qomoqomong,Senqu-river valley
Quthing,Telle,Senqu-river valley
Quthing,Tosing,Senqu-river valley
Quthing,Urban council,Senqu-river valley
Thaba-Tseka,Urban council,Highlands
Thaba-Tseka,Bokong,Highlands
Thaba-Tseka,Litsoetse,Senqu-river valley
Thaba-Tseka,Linakeng,Senqu-river valley
